,address,historical_description_count,historical_word_count,lat,lng,map_url,name,total_description_count,total_word_count,url,viewport,0
??,"Taiwan Province, Taiwan",262,19212,22.6158015,120.7120023,"https://maps.google.com/?q=Taiwan+Province,+Taiwan&ftid=0x3468b01fc15a21a1:0xef1fdf540cb9a9fb",Taiwan Province,1045,37535,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3,"{'southwest': {'lat': 21.8968211, 'lng': 120.117441}, 'northeast': {'lat': 25.1955565, 'lng': 121.965914}}",1113.7673053514052
?????,"No. 272?, Zhongzheng 4th Rd, Yancheng District, Kaohsiung City, Taiwan 803",213,13956,22.62673699999999,120.286883,https://maps.google.com/?cid=7440464235140680198,Kaohsiung Museum of History,801,25364,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%9B%84%E5%B8%82%E6%AD%B7%E5%8F%B2,,842.042227830576
??????,"900, Taiwan, Pingtung County, Pingtung City, ??????",208,13562,22.674285,120.484604,https://maps.google.com/?cid=12543440150978706641,????????,1129,33557,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%97%A5%E6%B2%BB%E6%99%82%E6%9C%9F,,789.1077535367117
????,Taiwan,194,11927,23.69781,120.960515,https://maps.google.com/?q=Taiwan&ftid=0x346ef3065c07572f:0xe711f004bf9c5469,Taiwan,737,26600,https://zh.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B,"{'southwest': {'lat': 21.8156481, 'lng': 120.0350435}, 'northeast': {'lat': 25.2996232, 'lng': 122.0071612}}",721.8638775083853
????,"No. 250, Section 1, Zhanghe Rd, Annan District, Tainan City, Taiwan 70946",206,11578,23.0584584,120.2349559,https://maps.google.com/?cid=6712677552089154001,National Museum of Taiwan History,727,24213,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%AD%B7%E5%8F%B2,,706.323585782547
???,"No. 250, Section 1, Zhanghe Rd, Annan District, Tainan City, Taiwan 70946",206,11578,23.0584584,120.2349559,https://maps.google.com/?cid=6712677552089154001,National Museum of Taiwan History,727,24213,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%AD%B7%E5%8F%B2,,706.323585782547
?????,"No. 48, Lequn St, West District, Taichung City, Taiwan 403",181,9492,24.1392405,120.6725715,https://maps.google.com/?cid=88011967689426993,Taichung Literary Park,537,11909,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%96%87%E5%AD%B8%E5%8F%B2,,617.2529194889977
???,"Kaohsiung City, Taiwan",125,8453,22.6272784,120.3014353,"https://maps.google.com/?q=Kaohsiung+City,+Taiwan&ftid=0x346e43517a7a741b:0x4826a24a54732a37",Kaohsiung City,916,24814,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%9B%84%E5%B8%82,"{'southwest': {'lat': 22.4755961, 'lng': 120.1757832}, 'northeast': {'lat': 23.4717267, 'lng': 121.0490147}}",506.39996595927215
????,"No. 1, Section 4, Roosevelt Rd, Da?an District, Taipei City, Taiwan 10617",108,7683,25.0173405,121.5397518,https://maps.google.com/?cid=2410837594748059494,National Taiwan University,725,15210,https://zh.wikipedia.org/wiki/%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8,,480.4549602445199
??????,"No. 1, Section 4, Roosevelt Rd, Da?an District, Taipei City, Taiwan 10617",108,7683,25.0173405,121.5397518,https://maps.google.com/?cid=2410837594748059494,National Taiwan University,725,15210,https://zh.wikipedia.org/wiki/%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8,,480.4549602445199
?????,"No. 49, Nanhai Rd, Zhongzheng District, Taipei City, Taiwan 100",101,7371,25.031454,121.511227,https://maps.google.com/?cid=11071681364411668204,National Museum of History,428,13892,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E6%AD%B7%E5%8F%B2,,479.02988930301376
???,"Taoyuan City, Taiwan",97,7524,24.9936281,121.3009798,"https://maps.google.com/?q=Taoyuan+City,+Taiwan&ftid=0x34683d0eceda863f:0x54e44f52583a486a",Taoyuan City,1083,24305,https://zh.wikipedia.org/wiki/%E6%A1%83%E5%9C%92%E5%B8%82,"{'southwest': {'lat': 24.5864837, 'lng': 120.9845663}, 'northeast': {'lat': 25.1231369, 'lng': 121.4798127}}",446.03958128963535
????,"No. 16?, Section 1, Shuangshi Rd, North District, Taichung City, Taiwan 404",84,5575,24.1476638,120.6875853,https://maps.google.com/?cid=12975569493277429793,National Taiwan University of Sport Taichung Campus,283,7832,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E9%AB%94%E8%82%B2,,387.29979483842936
????,"No. 64, Section 2, Zhinan Rd, Wenshan District, Taipei City, Taiwan 116",106,5850,24.987516,121.576074,https://maps.google.com/?cid=11424795872273888519,National Chengchi University,464,11688,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%94%BF%E6%B2%BB,,384.1043606793605
???,"Tainan City, Taiwan",95,6270,22.9998999,120.2268758,"https://maps.google.com/?q=Tainan+City,+Taiwan&ftid=0x346e7ccc953ffe13:0xd47f4caaa5dc764e",Tainan City,830,22203,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E5%B8%82,"{'southwest': {'lat': 22.8874907, 'lng': 120.0354791}, 'northeast': {'lat': 23.4137568, 'lng': 120.6562595}}",380.4677278386686
