,address,historical_description_count,historical_word_count,lat,lng,map_url,name,total_description_count,total_word_count,url,viewport,0
???,"No. 250, Section 1, Zhanghe Rd, Annan District, Tainan City, Taiwan 70946",3,341,23.0584584,120.2349559,https://maps.google.com/?cid=6712677552089154001,National Museum of Taiwan History,727,24213,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%AD%B7%E5%8F%B2,,20.61908634667313
????,"No. 250, Section 1, Zhanghe Rd, Annan District, Tainan City, Taiwan 70946",3,341,23.0584584,120.2349559,https://maps.google.com/?cid=6712677552089154001,National Museum of Taiwan History,727,24213,https://zh.wikipedia.org/wiki/%E5%8F%B0%E7%81%A3%E6%AD%B7%E5%8F%B2,,20.61908634667313
?????,"No. 49, Nanhai Rd, Zhongzheng District, Taipei City, Taiwan 100",3,256,25.031454,121.511227,https://maps.google.com/?cid=11071681364411668204,National Museum of History,428,13892,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E5%B8%82%E6%AD%B7%E5%8F%B2,,16.60448893595832
?????,"962, Taiwan, Taitung County, Changbin Township, ??????1-4?",3,189,23.3971669,121.476676,https://maps.google.com/?cid=2329718856803831056,?????,82,1707,https://zh.wikipedia.org/wiki/%E5%85%AB%E4%BB%99%E6%B4%9E%E9%81%BA%E5%9D%80,,16.20360919233762
??,"Taiwan Province, Taiwan",2,281,22.6158015,120.7120023,"https://maps.google.com/?q=Taiwan+Province,+Taiwan&ftid=0x3468b01fc15a21a1:0xef1fdf540cb9a9fb",Taiwan Province,1045,37535,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3,"{'northeast': {'lng': 121.965914, 'lat': 25.1955565}, 'southwest': {'lng': 120.117441, 'lat': 21.8968211}}",16.185485643136882
?????,"No. 250, Section 1, Zhanghe Rd, Annan District, Tainan City, Taiwan 70946",3,174,23.0584584,120.2349559,https://maps.google.com/?cid=6712677552089154001,National Museum of Taiwan History,179,4087,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E5%B8%82%E6%AD%B7%E5%8F%B2,,13.108244493974953
???,"Kaohsiung City, Taiwan",1,189,22.6272784,120.3014353,"https://maps.google.com/?q=Kaohsiung+City,+Taiwan&ftid=0x346e43517a7a741b:0x4826a24a54732a37",Kaohsiung City,916,24814,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%9B%84%E5%B8%82,"{'northeast': {'lng': 121.0490147, 'lat': 23.4717267}, 'southwest': {'lng': 120.1757832, 'lat': 22.4755961}}",11.216599852210503
???,"China, Beijing Shi, Dongcheng Qu, ??????2??? ????: 100006",2,170,39.923316,116.408946,https://maps.google.com/?cid=13086625674089276032,??????????,541,14947,https://zh.wikipedia.org/wiki/%E4%B8%96%E7%95%8C%E6%AD%B7%E5%8F%B2,,10.813743524812267
???,"Tainan City, Taiwan",4,164,22.9998999,120.2268758,"https://maps.google.com/?q=Tainan+City,+Taiwan&ftid=0x346e7ccc953ffe13:0xd47f4caaa5dc764e",Tainan City,830,22203,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E5%B8%82,"{'northeast': {'lng': 120.6562595, 'lat': 23.4137568}, 'southwest': {'lng': 120.0354791, 'lat': 22.8874907}}",10.042196115773185
???,"Tainan City, Taiwan",4,164,22.9998999,120.2268758,"https://maps.google.com/?q=Tainan+City,+Taiwan&ftid=0x346e7ccc953ffe13:0xd47f4caaa5dc764e",Tainan City,830,22203,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8D%97%E5%B8%82,"{'northeast': {'lng': 120.6562595, 'lat': 23.4137568}, 'southwest': {'lng': 120.0354791, 'lat': 22.8874907}}",10.042196115773185
???????,"No. 50, Section 1, Ren'ai Rd, Zhongzheng District, Taipei City, Taiwan 100",1,113,25.0379276,121.5245457,https://maps.google.com/?cid=2575610683039526696,Ministry of Transportation and Communications R.O.C.,97,1397,https://zh.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E4%BA%A4%E9%80%9A%E9%83%A8,,9.647287275111692
????,"Japan, ?600-8358 Ky?to-fu, Ky?to-shi, Shimogy?-ku, Monzench?, ????????",1,81,34.991449,135.7510267,https://maps.google.com/?cid=6452800399047878071,Nishi Honganji,19,350,https://zh.wikipedia.org/wiki/%E8%A5%BF%E6%9C%AC%E9%A1%98%E5%AF%BA,,9.315670680012335
?????,"903, Taiwan, Pingtung County, Majia Township, ??104?",1,87,22.7066484,120.653563,https://maps.google.com/?cid=3085361070587486334,????????????????,348,10738,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E5%8E%9F%E4%BD%8F%E6%B0%91%E6%97%8F,,5.8148191762012225
???,"556, Taiwan, ?????????",1,61,23.7126695,120.9302603,"https://maps.google.com/?q=556,+Taiwan,+%E5%8D%97%E6%8A%95%E7%B8%A3%E4%BF%A1%E7%BE%A9%E9%84%89%E4%BA%BA%E5%92%8C%E6%9D%91&ftid=0x346f2afaf7316cd5:0xf5411a7de333bf38",???,177,4801,https://zh.wikipedia.org/wiki/%E8%87%BA%E7%81%A3%E4%BA%BA,"{'northeast': {'lng': 121.0227641, 'lat': 23.7930542}, 'southwest': {'lng': 120.8696522, 'lat': 23.6504428}}",4.54121655129103
???,"Changhua County, Taiwan",1,56,24.0517963,120.5161352,"https://maps.google.com/?q=Changhua+County,+Taiwan&ftid=0x3469491eb5791475:0xd6e84b58ba347f27",Changhua County,289,5906,https://zh.wikipedia.org/wiki/%E5%BD%B0%E5%8C%96%E7%B8%A3,"{'northeast': {'lng': 120.6839482, 'lat': 24.1976918}, 'southwest': {'lng': 120.2478478, 'lat': 23.7856173}}",3.9720837077858864
???,"Guishan Island, Toucheng Township, Yilan County, Taiwan 261",1,44,24.8419444,121.9519444,https://maps.google.com/?q=Guishan+Island&ftid=0x3467f4f99dff7663:0x950a58aaa1e59ebc,Guishan Island,78,1829,https://zh.wikipedia.org/wiki/%E9%BE%9C%E5%B1%B1%E5%B3%B6,"{'northeast': {'lng': 121.9679518, 'lat': 24.8520695}, 'southwest': {'lng': 121.935937, 'lat': 24.8318184}}",3.791634205249314
????,Taiwan,1,59,23.69781,120.960515,https://maps.google.com/?q=Taiwan&ftid=0x346ef3065c07572f:0xe711f004bf9c5469,Taiwan,737,26600,https://zh.wikipedia.org/wiki/%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B,"{'northeast': {'lng': 122.0071612, 'lat': 25.2996232}, 'southwest': {'lng': 120.0350435, 'lat': 21.8156481}}",3.5732887262192157
?????,"No. 272?, Zhongzheng 4th Rd, Yancheng District, Kaohsiung City, Taiwan 803",1,59,22.62673699999999,120.286883,https://maps.google.com/?cid=7440464235140680198,Kaohsiung Museum of History,801,25364,https://zh.wikipedia.org/wiki/%E9%AB%98%E9%9B%84%E5%B8%82%E6%AD%B7%E5%8F%B2,,3.5657092010610887
????,"No. 1, Section 4, Roosevelt Rd, Da?an District, Taipei City, Taiwan 10617",1,54,25.0173405,121.5397518,https://maps.google.com/?cid=2410837594748059494,National Taiwan University,725,15210,https://zh.wikipedia.org/wiki/%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8,,3.3917369802911814
